用例名称,登录接口,,,
请求URL,http://localhost/login,,,
请求方法,post,,,
前置条件,系统存在有效账户,,,
请求头,,,,
是否执行,Y,,,
描述,请求参数,状态码,返回信息,说明
使用有效管理员账号登录,"account=admin，
password=12345",10000,login success,
使用有效普通账号登录,"account=lishao，
password=12345",10000,login success,
不传入账号,"account=，
password=12345",10002,parameter error,
不传入密码,"account=admin，
password=",10002,parameter error,
传入错误账号,"account=admin123，
password=12345",10004,account or password error,
传入错误密码,"account=admin，
password=12350",10004,account or password error,
